Team,Year,Conference,Subdivision
Tulsa (OK),1898, Independent,No Classification
Utah,1898, Independent,No Classification
Utah St.,1898, Independent,No Classification
Vanderbilt (TN),1898, Southern Intercollegiate Athletic Association,No Classification
Virginia,1898, Independent,No Classification
Virginia Tech,1898, Southern Intercollegiate Athletic Association,No Classification
Wake Forest (NC),1898, Independent,No Classification
Washington,1898, Independent,No Classification
Washington St.,1898, Independent,No Classification
West Virginia,1898, Independent,No Classification
Wisconsin,1898, Big Ten Conference,No Classification
Wyoming,1898, Independent,No Classification
Akron (OH),1899, Independent,No Classification
Alabama,1899, Southern Intercollegiate Athletic Association,No Classification
Arizona,1899, Independent,No Classification
Arizona St.,1899, Independent,No Classification
Arkansas,1899, Independent,No Classification
Army (NY),1899, Independent,No Classification
Auburn (AL),1899, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1899, Independent,No Classification
Boston College (MA),1899, Independent,No Classification
Buffalo (NY),1899, Independent,No Classification
California,1899, Independent,No Classification
Central Michigan,1899, Independent,No Classification
Cincinnati (OH),1899, Independent,No Classification
Clemson (SC),1899, Southern Intercollegiate Athletic Association,No Classification
Colorado,1899, Colorado Football Association,No Classification
Colorado St.,1899, Colorado Football Association,No Classification
Connecticut,1899, Independent,No Classification
Duke (NC),1899, Independent,No Classification
Eastern Michigan,1899, Michigan Intercollegiate Athletic Association,No Classification
Georgia,1899, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1899, Southern Intercollegiate Athletic Association,No Classification
Idaho,1899, Independent,No Classification
Illinois,1899, Big Ten Conference,No Classification
Indiana,1899, Independent,No Classification
Iowa,1899, Independent,No Classification
Iowa St.,1899, Independent,No Classification
Kansas,1899, Independent,No Classification
Kansas St.,1899, Independent,No Classification
Kentucky,1899, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1899, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1899, Independent,No Classification
Maryland,1899, Independent,No Classification
Massachusetts,1899, Independent,No Classification
Miami (OH),1899, Independent,No Classification
Michigan,1899, Big Ten Conference,No Classification
Michigan St.,1899, Michigan Intercollegiate Athletic Association,No Classification
Minnesota,1899, Big Ten Conference,No Classification
Mississippi,1899, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1899, Southern Intercollegiate Athletic Association,No Classification
Missouri,1899, Independent,No Classification
Navy (MD),1899, Independent,No Classification
Nebraska,1899, Independent,No Classification
Nevada,1899, Independent,No Classification
New Mexico,1899, Independent,No Classification
New Mexico St.,1899, Independent,No Classification
North Carolina,1899, Southern Intercollegiate Athletic Association,No Classification
North Carolina St.,1899, Southern Intercollegiate Athletic Association,No Classification
Northern Illinois,1899, Independent,No Classification
Northwestern (IL),1899, Big Ten Conference,No Classification
Notre Dame (IN),1899, Independent,No Classification
Ohio,1899, Independent,No Classification
Ohio St.,1899, Independent,No Classification
Oklahoma,1899, Independent,No Classification
Oregon,1899, Independent,No Classification
Oregon St.,1899, Independent,No Classification
Penn St.,1899, Independent,No Classification
Pittsburgh (PA),1899, Independent,No Classification
Purdue (IN),1899, Big Ten Conference,No Classification
Rutgers (NJ),1899, Independent,No Classification
San Jose St. (CA),1899, Independent,No Classification
South Carolina,1899, Independent,No Classification
Southern California,1899, Independent,No Classification
Stanford (CA),1899, Independent,No Classification
Syracuse (NY),1899, Independent,No Classification
Temple (PA),1899, Independent,No Classification
Tennessee,1899, Southern Intercollegiate Athletic Association,No Classification
Texas,1899, Southern Intercollegiate Athletic Association,No Classification
Texas A&M,1899, Independent,No Classification
Texas Christian,1899, Independent,No Classification
Tulane (LA),1899, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1899, Independent,No Classification
Utah,1899, Independent,No Classification
Utah St.,1899, Independent,No Classification
Vanderbilt (TN),1899, Southern Intercollegiate Athletic Association,No Classification
Virginia,1899, Independent,No Classification
Virginia Tech,1899, Independent,No Classification
Wake Forest (NC),1899, Independent,No Classification
Washington,1899, Independent,No Classification
Washington St.,1899, Independent,No Classification
West Virginia,1899, Independent,No Classification
Wisconsin,1899, Big Ten Conference,No Classification
Wyoming,1899, Independent,No Classification
Akron (OH),1900, Independent,No Classification
Alabama,1900, Southern Intercollegiate Athletic Association,No Classification
Arizona,1900, Independent,No Classification
Arizona St.,1900, Independent,No Classification
Arkansas,1900, Independent,No Classification
Army (NY),1900, Independent,No Classification
Auburn (AL),1900, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1900, Independent,No Classification
Boston College (MA),1900, Independent,No Classification
Buffalo (NY),1900, Independent,No Classification
California,1900, Independent,No Classification
Central Michigan,1900, Independent,No Classification
Cincinnati (OH),1900, Independent,No Classification
Clemson (SC),1900, Southern Intercollegiate Athletic Association,No Classification
Colorado,1900, Colorado Football Association,No Classification
Colorado St.,1900, Colorado Football Association,No Classification
Connecticut,1900, Independent,No Classification
Duke (NC),1900, Independent,No Classification
Eastern Michigan,1900, Michigan Intercollegiate Athletic Association,No Classification
Georgia,1900, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1900, Southern Intercollegiate Athletic Association,No Classification
Idaho,1900, Independent,No Classification
Illinois,1900, Big Ten Conference,No Classification
Indiana,1900, Big Ten Conference,No Classification
Iowa,1900, Big Ten Conference,No Classification
Iowa St.,1900, Independent,No Classification
Kansas,1900, Independent,No Classification
Kansas St.,1900, Independent,No Classification
Kentucky,1900, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1900, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1900, Independent,No Classification
Maryland,1900, Independent,No Classification
Massachusetts,1900, Independent,No Classification
Miami (OH),1900, Independent,No Classification
Michigan,1900, Big Ten Conference,No Classification
Michigan St.,1900, Michigan Intercollegiate Athletic Association,No Classification
Minnesota,1900, Big Ten Conference,No Classification
Mississippi,1900, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1900, Southern Intercollegiate Athletic Association,No Classification
Missouri,1900, Independent,No Classification
Navy (MD),1900, Independent,No Classification
Nebraska,1900, Independent,No Classification
Nevada,1900, Independent,No Classification
New Mexico,1900, Independent,No Classification
New Mexico St.,1900, Independent,No Classification
North Carolina,1900, Southern Intercollegiate Athletic Association,No Classification
North Carolina St.,1900, Southern Intercollegiate Athletic Association,No Classification
Northern Illinois,1900, Independent,No Classification
Northwestern (IL),1900, Big Ten Conference,No Classification
Notre Dame (IN),1900, Independent,No Classification
Ohio,1900, Independent,No Classification
Ohio St.,1900, Independent,No Classification
Oklahoma,1900, Independent,No Classification
Oregon,1900, Independent,No Classification
Oregon St.,1900, Independent,No Classification
Penn St.,1900, Independent,No Classification
Pittsburgh (PA),1900, Independent,No Classification
Purdue (IN),1900, Big Ten Conference,No Classification
Rutgers (NJ),1900, Independent,No Classification
San Jose St. (CA),1900, Independent,No Classification
South Carolina,1900, Southern Intercollegiate Athletic Association,No Classification
Southern California,1900, Independent,No Classification
Stanford (CA),1900, Independent,No Classification
Syracuse (NY),1900, Independent,No Classification
Temple (PA),1900, Independent,No Classification
Tennessee,1900, Southern Intercollegiate Athletic Association,No Classification
Texas,1900, Southern Intercollegiate Athletic Association,No Classification
Texas A&M,1900, Independent,No Classification
Texas Christian,1900, Independent,No Classification
Tulane (LA),1900, Southern Intercollegiate Athletic Association,No Classification
